Date,Open,High,Low,Close,Adj Close,Volume
2015-12-11,6530.609863,6712.020020,6439.910156,6530.609863,6530.609863,1623156
2015-12-14,6621.319824,6621.319824,6439.910156,6439.910156,6439.910156,786038
2015-12-15,6621.319824,6712.020020,6439.910156,6712.020020,6712.020020,487944
2015-12-16,6712.020020,6893.419922,6621.319824,6621.319824,6621.319824,1148310
2015-12-17,6712.020020,6802.720215,6530.609863,6621.319824,6621.319824,935251
2015-12-18,6530.609863,6712.020020,6530.609863,6530.609863,6530.609863,854449
2015-12-21,6530.609863,6530.609863,6349.209961,6439.910156,6439.910156,738488
2015-12-22,6439.910156,6621.319824,6349.209961,6439.910156,6439.910156,647278
2015-12-23,7074.830078,7074.830078,6258.500000,6349.209961,6349.209961,457449
2015-12-24,6439.910156,6530.609863,6349.209961,6349.209961,6349.209961,453513
2015-12-28,6258.500000,6349.209961,6077.100098,6077.100098,6077.100098,1065103
2015-12-29,6077.100098,6258.500000,5895.689941,6167.799805,6167.799805,1206510
2015-12-30,6621.319824,6621.319824,6167.799805,6258.500000,6258.500000,637565
2015-12-31,6802.720215,6802.720215,6167.799805,6167.799805,6167.799805,389282
2016-01-04,6258.500000,6258.500000,6077.100098,6077.100098,6077.100098,725136
2016-01-05,6077.100098,6077.100098,5895.689941,5895.689941,5895.689941,1114639
2016-01-06,6077.100098,6077.100098,5895.689941,5986.390137,5986.390137,499168
2016-01-07,6530.609863,6530.609863,5623.580078,5623.580078,5623.580078,1312736
2016-01-08,6167.799805,6167.799805,5260.770020,5351.470215,5351.470215,1425985
2016-01-11,5351.470215,5442.180176,5260.770020,5351.470215,5351.470215,565042
2016-01-12,5351.470215,5804.990234,5260.770020,5804.990234,5804.990234,1205110
2016-01-13,5714.290039,6077.100098,5714.290039,5804.990234,5804.990234,1593565
2016-01-14,5714.290039,5714.290039,5442.180176,5532.879883,5532.879883,1117266
2016-01-15,5442.180176,5623.580078,5351.470215,5351.470215,5351.470215,847315
2016-01-19,4988.660156,5170.069824,4988.660156,5170.069824,5170.069824,971137
2016-01-20,5170.069824,5532.879883,4988.660156,5260.770020,5260.770020,1407121
2016-01-21,5170.069824,5442.180176,5170.069824,5260.770020,5260.770020,1217193
2016-01-22,5351.470215,5532.879883,5170.069824,5442.180176,5442.180176,1461309
2016-01-25,5532.879883,5986.390137,5532.879883,5895.689941,5895.689941,1449170
2016-01-26,5804.990234,5804.990234,5532.879883,5532.879883,5532.879883,1402623
2016-01-27,5623.580078,5895.689941,5623.580078,5804.990234,5804.990234,989913
2016-01-28,5804.990234,5804.990234,5623.580078,5714.290039,5714.290039,729723
2016-01-29,5714.290039,5804.990234,5623.580078,5714.290039,5714.290039,837216
2016-02-01,5714.290039,5714.290039,5532.879883,5623.580078,5623.580078,648303
2016-02-02,5623.580078,5623.580078,5442.180176,5532.879883,5532.879883,602406
2016-02-03,5442.180176,5623.580078,5442.180176,5532.879883,5532.879883,570764
2016-02-04,5532.879883,5623.580078,5532.879883,5532.879883,5532.879883,350915
2016-02-05,5532.879883,5714.290039,5532.879883,5714.290039,5714.290039,768608
2016-02-08,5714.290039,5714.290039,5714.290039,5714.290039,5714.290039,0
2016-02-09,5714.290039,5714.290039,5714.290039,5714.290039,5714.290039,0
2016-02-10,5714.290039,5714.290039,5714.290039,5714.290039,5714.290039,0
2016-02-11,5714.290039,5714.290039,5714.290039,5714.290039,5714.290039,0
2016-02-12,5714.290039,5714.290039,5714.290039,5714.290039,5714.290039,0
2016-02-16,5623.580078,5714.290039,5623.580078,5714.290039,5714.290039,432081
2016-02-17,5714.290039,5895.689941,5623.580078,5714.290039,5714.290039,1156908
2016-02-18,5714.290039,5895.689941,5714.290039,5804.990234,5804.990234,878847
